image,source,loss,pixel_accuracy,dice,iou,precision,recall,samples
HEK293/images/Yaniv__dic_L10_Sum055.tif,HEK293,0.4130558902214635,0.8395419279413328,0.8357896454209267,0.7179026042274904,0.7179026042274904,1.0,1
HEK293/images/Yaniv__dic_L12_Sum030.tif,HEK293,0.4898273096237645,0.8083218195344882,0.7998723888256998,0.6664894477705092,0.6664894477705092,1.0,1
HEK293/images/Yaniv__dic_L15_Sum030.tif,HEK293,0.14376801539334016,0.9515822616643639,0.9468107618998971,0.8989939582063079,0.899954221981772,0.9988145091760069,1
HEK293/images/Yaniv__dic_L18_Sum030.tif,HEK293,0.18057694355553858,0.9386159528111383,0.9463428229678963,0.8981505973636644,0.8993995982606009,0.9984562039771127,1
HEK293/images/Yaniv__dic_L1_Sum001.tif,HEK293,0.30613651573626316,0.8861927409926666,0.9062207504310463,0.8285225293752627,0.8287547804497126,0.9996618725017812,1
HEK293/images/Yaniv__dic_L21_Sum001.tif,HEK293,0.1758166813979634,0.9437838771389095,0.9562669560499186,0.9161987939280516,0.919613572663844,0.9959634449575354,1
HEK293/images/Yaniv__dic_L23_Sum001.tif,HEK293,0.09395061358722367,0.9703475395897545,0.977624060150376,0.9562275695711008,0.965085208716822,0.9904930221220062,1
HEK293/images/Yaniv__dic_L25_Sum055.tif,HEK293,0.12606340899504465,0.9540134445743437,0.9613117026092107,0.9255054716839013,0.9387483355525965,0.9849864293812485,1
HEK293/images/Yaniv__dic_L29_Sum020.tif,HEK293,0.16360281296498033,0.9404028058242109,0.9392963464140731,0.8855407853443217,0.9073251071839381,0.9736030071813285,1
HEK293/images/Yaniv__dic_L5_Sum010.tif,HEK293,0.7243644300005314,0.7305837496014455,0.8062039209315438,0.6753280020492624,0.6753280020492624,1.0,1
HEK293/images/Yaniv__dic_L7_Sum020.tif,HEK293,0.77103890722978,0.7180093527473695,0.8096613072446354,0.6801940591970952,0.6801940591970952,1.0,1
HEK293/images/Yaniv__dic_L8_Sum055.tif,HEK293,0.9492169855656818,0.6483420129663089,0.7636037258982076,0.617604357027802,0.617604357027802,1.0,1
MDCK/images/DKWH7_L16_007.tif,MDCK,0.636599079837124,0.6859589223084281,0.7383341543195869,0.5852057871324916,0.9366925064599483,0.6093049173738684,1
MDCK/images/DKWH7_L18_011.tif,MDCK,0.12785794248691412,0.9636850356042087,0.9684132679296737,0.9387608795492478,0.9388765656158276,0.9998687617070523,1
MDCK/images/DKWH7_L18_015.tif,MDCK,0.1427061113569787,0.9590219470719524,0.9666271754007282,0.9354099047220187,0.9355764296859456,0.9998097540231429,1
MDCK/images/DKWH7_L18_028.tif,MDCK,0.12923590082052422,0.9606161653735785,0.9751140622966921,0.9514366686324618,0.9516549238079633,0.9997590091834715,1
MDCK/images/DKWH7_L1_000.tif,MDCK,0.1418755947181555,0.9501740354979276,0.9652710579803414,0.9328733533791523,0.9332408236347359,0.9995780873934431,1
MDCK/images/DKWH7_L1_016.tif,MDCK,0.1476909237291091,0.9533757572536933,0.9708567751043202,0.9433641028951361,0.9610920211104352,0.9808219867616339,1
MDCK/images/DKWH7_L2_001.tif,MDCK,1.1877443222579445,0.5682259007333404,0.7246735313676738,0.5682259007333404,1.0,0.5682259007333404,1
MDCK/images/DKWH7_L2_003.tif,MDCK,1.269642824523063,0.48992985439472847,0.6576549264378065,0.48992985439472847,1.0,0.48992985439472847,1
MDCK/images/DKWH7_L3_001.tif,MDCK,0.1483660793314579,0.9551161122329684,0.9679597517200829,0.9379089171506285,0.9396704106057816,0.9980052996450607,1
MDCK/images/DKWH7_L4_000.tif,MDCK,0.4688322018811776,0.8228690615368265,0.847138942710065,0.7348144317594176,0.7350410345685153,0.9995806333788775,1
MDCK/images/DKWH7_L4_003.tif,MDCK,0.39847294437174513,0.8505752471038368,0.8775362437189349,0.7817947250487434,0.7828654686741137,0.9982535888130597,1
MDCK/images/DKWH7_L5_000.tif,MDCK,0.2639460888511,0.9067714422361569,0.8898775196353051,0.8016030081139917,0.8018637141362293,0.999594570773841,1
MDCK/images/DKWH7_L5_011.tif,MDCK,0.13776709643443114,0.959652991816346,0.9623051335517824,0.9273488427725615,0.9274930615369892,0.9998323532446095,1
MDCK/images/DKWH7_L6_032.tif,MDCK,0.15050245899869805,0.9504729514294824,0.9727114351384192,0.9468726396944607,0.9468726396944607,1.0,1
